
11	Morrison Healthcare	Food Aggregation & Distribution		Morrison Healthcare is a leading national food and nutrition services company exclusively dedicated to serving over 1000 hospitals and healthcare systems. Morrison has been serving some of the nation�s largest health systems for more than 65 years and leverages culinary, nutritional, and operational expertise to provide consistency and transform the healthcare experience. Morrison Healthcare is a food service for healthcare facilities, focused on innovative and sustainable dining experiences.			Morrison Healthcare, 400 Northridge Road Suite 600, Atlanta, GA 30350		Morrisoncommunications@iammorrison.com		1920	2				General Atlanta	https://pha-cms.s3.amazonaws.com/image/115/square_small.jpg?1724168101		2				https://www.morrisonhealthcare.com/
12	Chris 180	Supporting Resources & Services		CHRIS 180 helps children, adults, and families who have experienced trauma change the direction of their lives to become more productive, self-sufficient members of the community. CHRIS 180 offers community support programs including counseling, substance abuse prevention, and early childhood mental health.		Nutrition, Health, & Wellness	1030 Fayetteville Road Atlanta, Georgia 30316		(404) 486-9034		1981	8				Not in Georgia	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ17xLYeu4aYyOh_TlN9Sgf3pci_9DNP4g1Dg&s		8				https://chris180.org/
13	People United for Change	Recovery & Redistribution		People United For Change Helps to serve the people of the community by offering services to help them in there everyday life		Food Pantry	3638 Campbellton Rd, Atlanta, GA 30331					1							1				https://www.facebook.com/PeopleUnitedForChangeATL/
14	Diamond Hill Farm	Farm / Producer		Diamond Hill Farm is a small-scale, 7 acre farm on the outskirts of Athens, GA, operated since 2012 by farmer Carter Dodd. We�re passionate about growing vibrant, nutrient-rich food and beautiful, high-quality flowers�always with care for the land, our farmers, and the community we serve. We are Certified Naturally Grown. You can find our produce and blooms at the Athens Farmers Market, Freedom Farmers Market, Morningside Farmers Market, and Grant Park Farmers Market in Atlanta, as well as on the menus of restaurants in both Athens and Atlanta. They also run a CSA Program.			545 Millstone Circle, Athens, GA 30605	For-Profit	diamondhillfarmcsa@gmail.com		2012	6			Flowers | Fruit & Vegetable | Organic/CNG	General Georgia	https://images.squarespace-cdn.com/content/v1/63c16a59d3a55f786c80909a/d02912eb-e6a4-4f7b-ad02-27faa588f06b/Web+Header+No+Background.png?format=1500w		6				Diamond Hill Farm
15	Safehouse Outreach	Recovery & Redistribution		Offer personalized programs including family reunification, emergency housing, permanenet supportive housing, rental assistance, employment training, and job placement.			89 Ellis St NE, Atlanta, GA 30303	Faith-Based				1					https://www.safehouseoutreach.org/uploads/1/4/2/2/142225459/sho-color-logo-sho-words-only.png		1				https://www.safehouseoutreach.org/what-we-believe.html
16	Greater Fellowship Outreach & Developme											1							1				
17	Retaaza	Food Aggregation & Distribution		Retaaza is a B Corp and social enterprise that strives to make local food more accessible and affordable. They directly support our communities� farmers, reconnect consumers to their food, and feeds familie struggling with food insecurities. Retaaza routinely buys food from local farmers, and will also purchase surplus ad-hoc from local farms at a fair price. Retaaza rescues food through: - Purchasing for Wholesale & Corporate Partners - Rescuing from Farmers Markets - Field to Fork Rescue & Food Access Program - Purchasing for Non-profit donations - Selling at Farm Fresh & MARTA Markets To join their supplier list, email farms@retaaza.com If you have excess produce to sell, email surplus@retaaza.com About the MARTA Markets: In partnership with MARTA, Retaaza also operates the MARTA markets, bringing fresh, Georgia-grown produce and heart-healthy shelf-stable pantry staples to transit riders at Kensington, Bankhead, West End, Doraville, and Hamilton E. Holmes MARTA Stations.			NA	For-Profit	Neil Ringer, Value Chain Manager: neil@retaaza.com Kashi Sehgal, Founder & CEO: kashi@retaaza.com To join supplier list, email farms@retaaza.com If you have excess produce to sell, email surplus@retaaza.com		2020	8	Woman-Owned				https://cdn.prod.website-files.com/631b22b813917dd5e698bcac/6336a8ad18215735ab24de97_Retaaza%2Bround%2Bicon%2Bsmall.webp		8				https://www.retaaza.com/
18	Southern Rural Black Women�s Initiative for Social and Economic Justice	Supporting Resources & Services		a collective of women leaders across Mississippi, Alabama and Georgia dedicated to lifting up Black women and families in rural, impoverished areas.		Technical Assistance | Training | Advocacy	Albany, Georgia 31702	Nonprofit	229.430.9870		2001	0	BIPOC-Owned | Woman-Owned			Not in Georgia	https://images.squarespace-cdn.com/content/v1/520473a1e4b08b2a394ebc8d/1377224319556-QDYIUIDJRP2QM7SJXVHU/SRBWI+logo.png		0				https://srbwi.org/
19	ReFED	Supporting Resources & Services		ReFED is a national nonprofit working across the food system to reduce food loss and waste. ReFED gathers data about food waste, serving as the definitive source for data and economic analysis about food waste, the solutions to fight it, and accessible methods for tracking progress. ReFED also works with businesses and community organizations to reduce food waste, build networks, and influence policy. Finally, ReFED funds solutions through its 'Catalytic Grant Fund'. The Catalytic Grant Fund is designed to accelerate the development and implementation of food waste solutions across the full food system by providing non-recoverable and recoverable grants and post-grant support to initiatives with high impact potential as measured by food waste reduced and GHG emissions reduced. The Catalytic Grant Fund deploys its capital through an ongoing series of open call cycles that are built around specific, priority food waste themes. See their open calls here: https://grantfund.refed.org/ Retaaza, a local Atlanta business dedicated to paying farmers and rescuring surplus food, was awarded from this fund in 2025 to reduce harvest losses on Georgia farms.		Funding | Advocacy		Nonprofit	info@refed.org			2					https://refed.org/img/refed_logo.svg?_cchid=3cd0136dc3511f1d16f4669c961206cf		2				https://refed.org/
20	Alo Farms	Farm / Producer		We serve you with exceptionally nutritious and delicious food with No herbicides, pesticides, chemicals, or GMO�s. Our high performance healing foods fight sickness and fuel a healthy lifestyle. It is our joy to farm foods that strengthen our local community, cancer patients, autistic communities, and professional athletes.			629 Hwy 74 South Peachtree City, GA 30269	For-Profit	678.489.4423			4			Fruit & Vegetable		https://lirp.cdn-website.com/5744784b/dms3rep/multi/opt/Horizontal_White_BG-1920w.png		4				https://www.alofarms.com/
21	Hearthfire Farm + Nursery	Farm / Producer		Hearthfire Farm + Nursery is a unique business that combines a farm with a plant nursery. We are committed to growing fresh, seasonal produce for our community and providing high-quality plants to help others start their own gardens. Our mission is to help people cultivate their own food and connect with the natural world. We believe that growing your own food is a deeply rewarding experience.			389 N Clarendon Ave, Scottdale, GA 30079					1			Organic/CNG	General Georgia			1				
22	Marietta Square Farmers Market	Consumption & Retail										2							2				
23	Greater Bethel AME Church	Recovery & Redistribution		Greater Bethel AME Church in Atlanta offers food assistance through its Bethel Food Closet Ministry, typically on the fourth Wednesday of each month from 10 AM�12 PM, providing free non-perishable groceries and school supplies, with details often shared on their social media for specific dates and requirements like bringing bags		Food Pantry	2455 Lakewood Ave SW, Atlanta, GA 30315	Faith-Based	greaterbethelatl@gmail.com			1							1				https://greaterbethelatl.wixsite.com/amec
24	Argyle Elementary	Recovery & Redistribution				Food Pantry	2420 Spring Rd SE, Smyrna, GA 30080	School	678-842-6800			1					https://sbcobbstor.blob.core.windows.net/media/WWWCobb/fgg/1841/argyle%20header.png		1				https://www.cobbk12.org/argyle
25	Peace on the Move /Peace Baptist Church FP	Recovery & Redistribution		As a premier social service provider, we are dedicated to tackling food insecurity, housing insecurity, and other critical issues affecting the Decatur metropolitan area.		Food Pantry	4000 Covington Hwy, Decatur, GA 30032	Faith-Based	info@peaceonthemove.org		2000	1					https://images.squarespace-cdn.com/content/v1/664d09cf1ece9962de74e5ea/54dda2c9-0cc8-4114-a067-2a426aa0f1a7/Peace+on+the+Move+Logo+at+Peace+on+the+Move%2C+a+nonprofit+organization+of+Peace+Baptist+Church+in+Decatur%2C+GA.png?format=1500w		1				https://www.peaceonthemove.org/
26	Big Bethel AME Church	Recovery & Redistribution		Big Bethel African Methodist Episcopal (AME) Church traces its roots back to 1847, with a group of enslaved persons who were part of �Union Church,� the very first congregation formed in Atlanta. Although Union Church, which eventually disbanded, was established for whites, the original enslaved group that was allowed to worship there remained intact. Whites eventually granted a petition for those enslaved to have their own church and set aside $700 for that purpose. In 1855, �Bethel Tabernacle� was completed. Indeed, while Big Bethel is often referred to as Atlanta's first Black congregation, it is more accurately recognized as Atlanta's oldest congregation, Black or white.		Food Pantry	220 Auburn Avenue, Atlanta, GA 30303	Faith-Based			1847	1					https://static.wixstatic.com/media/181578_9e87ebe9ae0b4518884eecd6e063fe65~mv2.png/v1/fill/w_284,h_282,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/181578_9e87ebe9ae0b4518884eecd6e063fe65~mv2.png		1				www.bigbethelame.org
27	Blooming With Possibilities Garden	Farm / Producer		The gardens and "The Egg Plant" are managed by a CCYA Farmer and a team of dedicated Cobb County Master Gardener Volunteers that together grow over 1,750 pounds of fresh organic produce that are farmed to table through the CCYA Cafeteria, providing several meals each day for youth residents. Produce is grown year- round and includes collards, kale, lettuce, cabbage, peas, green beans, okra, cucumbers, onions, radishes, carrots, corn, squashes, peppers, tomatoes, garlic, potatoes, sweet potatoes, herbs, watermelon, blackberries, blueberries, raspberries and figs. Additionally, the chickens produce over 1,200 eggs each year.		Community Garden						1							1				https://ccyakids.org/blooming-with-possibilities
28	Ebenezer Baptist Church	Recovery & Redistribution				Food Pantry	407 Auburn Ave NE, Atlanta, GA 30312	Faith-Based	info@ebenezeratl.org			3					https://ebenezeratl.org/wp-content/uploads/2021/03/logo.png		3				https://www.ebenezeratl.org/
29	EcoWomanist Institute Southeast	Supporting Resources & Services		A nonprofit organization that serves as a "safe and informative space for the EcoWomanist." They support cohorts of Black women farmers.		Training		Nonprofit	Email: ewiinfo@ecowomanist.org								https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-1/481773637_10112953626445730_5790089803432538655_n.jpg?stp=dst-jpg_s200x200_tt6&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=1qEYz7WGkZAQ7kNvwHutptc&_nc_oc=Adl2MkfQo4uZf95Y7zCazy4VjevKMpCDMt0R8z65NC5StTI208LpPc-PZ2Rbp9aM9M8&_nc_zt=24&_nc_ht=scontent-atl3-2.xx&_nc_gid=LG6qxGrwNNHZha03gnViCg&oh=00_AfdJj38LqnoWe_GTdwozkRg4UCSOsmf59--8Cr0B4Z_kcA&oe=68EF57BF						https://www.ecowomanist.org/
30	Sunshine Community Brotherhood Foundation-Atlanta	Recovery & Redistribution		The Sunshine Brotherhood Community Center is a nonprofit foundation that provides a warm and welcoming family atmosphere for individuals in need. Every week, The Sunshine Brotherhood Community Center provides over 500 families with food, clothing, counseling, utility, job and housing assistance. The center is equipped with a one of a kind computer lab for job searches and resume writing.		Food Pantry	2283 Baker Rd NW, Atlanta, GA 30318	Faith-Based	(404) 564-1466			1							1				https://www.salembiblechurch.org/social-services-ministry/
31	Power Atlanta	Recovery & Redistribution		Across Atlanta, thousands of families face food insecurity, housing instability, and health barriers every day. Many people, especially people of color and those in at-risk communities, work hard but still fall short, not for lack of effort, but for lack of access. POWER Atlanta bridges that gap, connecting neighbors to food, housing, health, and financial resources that strengthen well-being, ensure basic needs and security, and promote socio-economic mobility through community-based support.		Food Pantry	1024 Avon Ave SW,, Atlanta, GA 30310	Nonprofit	https://poweratl.org/contact/		2020	1	Woman-Owned | BIPOC-Owned				https://poweratl.org/wp-content/uploads/2025/12/Logo.svg		1				https://poweratl.org/
32	Sweet Selma Farm & Gardens	Farm / Producer		Sweet Selma Farms is proud to be an urban farm located in Historic College Park.Sweet Selma Farms is an urban farm lovingly named for Selma Katzenstein, a farmer who inspired many with her wit, cooking and courage. We grow fruits, nuts and herbs and then make yummy stuff that we sell at The Irwin Street Market.		Urban Agriculture		For-Profit	(404) 889-6568			1					https://www.ourvillagekitchens.com/wp-content/uploads/2012/05/sweet-selma-farms.jpg		1				https://www.ourvillagekitchens.com/?p=381
33	Love Joy Farm	Farm / Producer		Love Joy Farm is a small, one-woman, pesticide and herbicide free flower farm in Lovejoy, GA. It is run by Claire Reynolds and they sell beautiful flower bouquets in at farmers markets in Atlanta.			2635 N Steele Rd, Hampton, GA 30228	For-Profit	(678) 479-4525		2022	5	Woman-Owned		Flowers | Organic/CNG	General Georgia	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbRxDBSClpmKiCq7Xvb5IYICwIpGGXEzas4w&s		5				https://thedifferenceatl.com/love-joy-flower-farm/
34	Pittsburgh Kingdom Doors Baptist Church Inc.	Recovery & Redistribution		Pittsburgh Kingdom Doors Baptist Church is a welcoming community church in Atlanta, GA that provides spiritual guidance and support to its members. With a focus on faith, fellowship, and community outreach, Pittsburgh Kingdom Doors Baptist Church offers a place for individuals to come together and worship in a warm and inclusive environment.		Food Pantry	884 Coleman St SW, Atlanta, GA 30310	Nonprofit | Faith-Based				1							1				
35	Kimball House	Consumption & Retail		Kimball House aims to serve food and drinks that reflect the seasons, farms, and personalities of the people preparing them. Located in Decatur, visitors can expect a top-notch raw bar and delicious farm-to-table fare executed with technique, finesse, and passion. Awarded Snail of Approval from Slow Food Atlanta (2025).				For-Profit				1							1				
36	Feed Marietta, Inc	Recovery & Redistribution					340 Aviation Rd, Marietta, Georgia 30060	Nonprofit				1							1				
37	Good Agriculture	Supporting Resources & Services		Good Agriculture finds funding, manages finances and reaches more customers for farmers so they can focus on their operations. By keeping up to date with the latest grants, tax incentives and deadlines, GoodAg is positioned to help farmers maximize their productivity and save valuable time. Good Agriculture serves small to mid-scale farmers in GA by: >Performing bookkeeping duties on a monthly subscription basis for farmers >Helping with marketing. > Matching farmers with different funding programs and helps them with applications. Take their free funding eligibility survey here (https://goodagriculture.com/fes/)and sign up for weekly funding emails for only $3 per month here (https://payments-na1.hubspot.com/payments/purchase/hscs_L6tkKElRLeOSFWkTvbdGheNT7EWS93ieHVHDuf9si07tHdqJjSdCqYcomWDtJGbj?referrer=PAYMENT_LINK&__hstc=142510701.d461b1f89d028155d552abe727c5c9bf.1753371487686.1753371487686.1753371487686.1&__hssc=142510701.2.1753371487686&__hsfp=3892574149). Good Agriculture was founded by Kirsten Simmons (who also runs Ecosystem Farm) and Alex Adquist. Good Agriculutre is a mission-driven community devoted to sustainable agriculture and the well-being of our farmers. Putting farmers first�particularly small-to-midsize farmers�is at the core of everything we do, ensuring they have the resources and support to thrive. Our philosophy of regeneration permeates all aspects of our work, from creating environmentally sustainable solutions to supporting the financial and personal growth of our farmers, team, and local communities.		Funding | Technical Assistance	75 5th St NW, Atlanta, GA 30308	For-Profit	Phone: +1 (404) 981-3981 Email: hello@goodagriculture.com		2022	9	Woman-Owned			NW Atlanta	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQS0mcbe6-OttSTlX8DPb2B4YUmx5OSZn980A&s		9	We're able to do bookkeeping on a monthly subscription for farmers; we just do it for them. There's not a lot of software for you to figure out what you're doing, so we've added in marketing. We have a whole funding finder set up where we match farmers with different funding programs and help them with applications. We're gradually expanding to take on more of the admin of running a business, and it's showing. Farmers that we're working with have much higher ROI over the same performance prior to joining us.			https://goodagriculture.com/
38	The Cooking School Atlanta	Supporting Resources & Services		We are a boutique cooking school located in Old Fourth Ward catering to foodies who want a hands on cooking and eating experience. Currently we offer cooking classes for individuals, couples and groups and utilize some of the best chefs and cooking instructors in our area. We also offer special classes for groups of all sizes and age ranges. We also specialize in providing a �safe� and fun environment for folks who frankly HATE cooking. We take the fear and frustration out of the very act of entering the kitchen and we show you that the oven is far more useful than a place to stow your sweaters.		Nutrition, Health, & Wellness | Education Outreach | Training	755 Virginia Ave, Hapeville GA 30354	For-Profit	bookings@thecookingschools.com			2				Atlanta Suburb	https://www.thecookingschools.com/wp-content/uploads/2022/10/TheCookingSchoolsLogo.png		2				https://www.thecookingschools.com/
39	Firdous Community Garden & Farm at Mohammed Schools of Atlanta	Farm / Producer		Currently, Mohammed Schools of Atlanta has a school Garden that produces food all year round with the help of students and volunteers. Recently, the school has installed Hoop House near the school orchard for additional growing space through the winter months as well. Additionally, the school has cleared and tilled approximately 3000 square feet of space near our soccer field for additional growing space which is currently being protected by planted oats and a small sweet potato bed which we need to enhance for future production.		Community Garden | Education Outreach	735 Fayetteville Rd SE, Atlanta, GA 30316		(404) 378-4219		2012	3	BIPOC-Owned			SE Atlanta	https://images.squarespace-cdn.com/content/v1/60f5461ee1b28f3a7da6c2a9/753fd524-a5f9-48e8-8fa8-33f1e4f88789/20200729_103627.jpg?format=750w		3				https://www.mohammedschools.org/firdous-community-garden
40	Steward	Supporting Resources & Services		Steward�is a mission-driven lender partnering with regenerative farms and agriculture businesses to transform local�food�systems. They are nationally focused. Steward bridges the funding gap by offering business loans and a suite of services designed for regenerative producers. Apply today and use your loan to upgrade equipment, improve infrastructure, or purchase land�whatever you need to keep growing. Explore loans here: https://gosteward.com/borrow They also offer lending opportunities in ways where one can back unique agricultural projects or a collection of regenerative businesses. Steward is a certified B Corps.		Funding | Training	9450 SW Gemini Dr #41153 Beaverton, OR 97008	For-Profit	hello@gosteward.com		2016	1				Not in Georgia	https://media.licdn.com/dms/image/v2/D4E0BAQGvRtsXZqUAZw/company-logo_200_200/company-logo_200_200/0/1713445799696/go_steward_logo?e=2147483647&v=beta&t=pjdfXZLBOwmyidsb1o6fvW8d11YpfHuyfdtoASHWOhM		1				https://gosteward.com/
41	Metro Atlanta Urban Farm	Farm / Producer				Urban Agriculture	NA		(404) 788-2432			7					https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXsziPMZV2W1MyiCHZfuv1PBbUtGfBBezHTw&s		7				
42	Generation In Focus Foundation	Recovery & Redistribution		The Generation Infocus Foundation is a social innovation organization. We are a philanthropic organization that develops community programs throughout the USA and abroad. We take great interest in partnering with local organizations and individuals that provide the hands-on ground work for our communities. Our primary focus areas are education equality, housing and nutrition. We exist to create opportunity.		Food Pantry	3578 South Fulton Ave, Hapeville, GA 30354	Nonprofit				5					https://static1.squarespace.com/static/58adce102e69cf97ac1a8ff3/t/5ea071f1fc0aee06eb9415d8/1587573245682/Whitelogo2-01.png?format=2500w		5				https://www.generationinfocus.com/homepage
43	Franklin's Citrus Farm	Farm / Producer		Franklin's Citrus Farm is a unique family-owned farm in Statesboro, Georgia, that specializes in growing cold-hardy citrus fruits. Our mission is to provide fresh, tree-ripened Georgia citrus, bringing a taste of the sun to our customers. We believe in providing a product that is a true reflection of the land and the care that goes into it.			10610 HWY 301S, Statesboro, GA 30458		Phone: 912-243-5360 Email: GeorgiaCitrus@gmail.com			2			Fruit & Vegetable	General Georgia	https://static.wixstatic.com/media/255577_3783d55b398f48f7b616132b95d3ebb7~mv2.png/v1/crop/x_0,y_107,w_500,h_285/fill/w_698,h_399,al_c,lg_1,q_85,enc_avif,quality_auto/Black%20%26%20White%20Minimalist%20Signature%20Perso.png		2				https://www.georgiacitrus.com/
44	Eugene and Scilla Rice Ministries	Recovery & Redistribution				Food Pantry	110 Howard St NE, Atlanta, GA 30317	Faith-Based	(404) 374-7806			1							1				
45	The Black Church Food Security Network	Network		The Black Church Food Security Network (BCFSN spans much of the country, with member congregations located as far west as Omaha, Nebraska, throughout the East Coast, and across the southeastern United States. Using an asset-based community development approach, the BCFSN supports churches in establishing gardens on their land, hosting miniature farmers� markets, and buying wholesale from Black farmers, all while using their existing assets and the skills of their members.		Advocacy		Nonprofit			2015	1	BIPOC-Owned				https://blackchurchfoodsecurity.net/wp-content/uploads/2025/06/bcfsn_whitelogo.png		1				https://blackchurchfoodsecurity.net/
46	Providence Baptist Church S. Atlanta	Recovery & Redistribution				Food Pantry	1773 Hawthorne Ave, College Park, GA 30337	Faith-Based				1					https://static.wixstatic.com/media/b57416_7bf8fef6623d44198ddd5354cfb0cc3b~mv2.png/v1/fill/w_316,h_316,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/pbc%20logo.png		1				https://www.providencebc.com/
47	Wylde Center	Farm / Producer		Wylde Center is an Atlanta-area non-profit with five urban greenspaces that connect the community to nature in an urban environment. We also use these gardens to provide children and adults environmental education and demonstrate best practices in sustainability through engaging programming and events. Additionally, we grow about 80,000 plants a year in our nursery to sell to the public and offer to underserved communities in order to ensure everyone has access to plants that provide nutritional food and cleaner air. Much of our educational work with children takes place in conjunction with public and private schools where children learn how they can make a difference in our environment and grow their own food.		Urban Agriculture | Technical Assistance | Youth Programs	435 Oakview Rd, Decatur, GA 30030	Nonprofit	(404) 371-1920		1997	9				Atlanta Suburb	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrGmNlfnzfAJ7alqKCeu1A7fL7LU-Df9D-5A&s		9				https://www.wyldecenter.org/
48	Sysco	Food Aggregation & Distribution		Sysco is a global food service leader, distributing food products and non-food products to restaurants and businesses that serve food, including healthcare and stadiums.			780 Douglas Hill Rd., Ste. 100 Lithia Springs, GA 30122 US		https://www.sysco.com/contact/our-locations		1969	0				General Georgia	https://images.contentstack.io/v3/assets/bltfe3373143ecd3517/blt3396de2cd04bd6c4/64ec4404b0b32940a877f96b/Sysco-Logo-Color1.png		0				https://www.sysco.com/
49	Hand, Heart + Soul Project	Supporting Resources & Services		The Hand Heart + Soul Project is a non-profit organization that provides children and families access to nutrient-dense foods and works with early childhood education programs to develop holistic programs focused on health, wellness, nutrition, and education. We celebrate with and advance the needs of our community. The overarching goal of the Hand Heart + Soul Project is to build strong, healthy communities through access to nutrient-dense food, community wellness, and policy maker education. Our programming supports the broader community through model demonstration sites, providing positive outcomes for young children and their families across Clayton County and beyond, particularly those facing economic challenges.		Youth Programs | Education Outreach | Nutrition, Health, & Wellness	220 Arrowhead Blvd Suite 200, Jonesboro, GA 30236	Nonprofit	(678) 644-1584		2018	2				General Georgia	https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F101493622%2F447992476296%2F1%2Foriginal.20200521-013948?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C3000%2C3000&s=6e98c769dd4457cf2ca60b976177bfb7		2				https://www.handheartsoulproject.org/
50	Spelman College Victory Garden	Farm / Producer		The Spelman Victory Garden has organically grown into the physical anchor of Spelman's Food Studies Program. Approximately 100 different edible and medicinal crops have been grown within the space. The Garden includes a small greenhouse, storage shed, and greenspace intentionally outlined as an outdoor classroom (learning space) for student projects and faculty to create courses or modules.		Herbalism | Community Garden | Urban Agriculture | Education Outreach | Seed Saving / Sharing	350 Spelman Lane, SW Atlanta, GA. 30314	University	404-270-5792 foodstudies@spelman.edu			2	BIPOC-Owned | Woman-Owned		Fruit & Vegetable | Value-Added Products	SW Atlanta	https://www.spelman.edu/_files/images/spelman-logo.png		2				https://www.spelman.edu/academics/food-studies-program/our-garden.html
51	Local Green Atlanta	Supporting Resources & Services		Local Green is a fast casual restaurant that specializes in pescatarian, vegetarian, & vegan options. We are committed to redefining healthy, affordable food that is seasoned with culture. Our mission is to reduce health disparities in local communities. Boasting the tagline �Keeping Atlanta Healthy� and a hip-hop inspired vegetarian menu with items like the �Slim Shady� sandwich and the �Notorious� tacos, Local Green Atlanta has begun to build a strong local following over the past several months.		Nutrition, Health, & Wellness | Chef	19 Joseph E. Lowery Blvd NW Atlanta, GA 30314	For-Profit	404-549-9364 catering@localgreenatlanta.com community@localgreenatlanta.com		2017	1	BIPOC-Owned | Woman-Owned			NW Atlanta	https://localgreenatlanta.com/wp-content/uploads/2022/03/Local-Green-General-Logo-e1646366504912.jpg		1				https://localgreenatlanta.com/
52	Word of God In Christ Full Gospel	Recovery & Redistribution		Food Program Features: Accepts Walk-Ins, Curbside Pickup / Drive Through, Grocery / Client Choice, Indoor Service, Pre-Packed Boxes / Bags		Food Pantry	1401 Lakewood Ave SE, Atlanta, GA 30315	Faith-Based				1							1				
53	the dReam Center	Recovery & Redistribution		Our mission is to be a world leader in creating a continuous partnership that cultivates, strengthen, and build children, families, and communities.		Food Pantry	2600 H.F. Shepherd Dr, Decatur, GA 30034	Faith-Based	admin@thedreamcenterchurch.org (770) 396-9884			0					https://static.wixstatic.com/media/d88869_d49b2e28d6484a429d6c86cda6f97fda~mv2_d_3556_3200_s_4_2.png/v1/crop/x_299,y_133,w_3091,h_2967/fill/w_334,h_312,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/d88869_d49b2e28d6484a429d6c86cda6f97fda~mv2_d_3556_3200_s_4_2.png		0				https://www.dreamcenteratl.org/
54	Fort Valley State University	Public & Education Sector					1005 State University Dr, Fort Valley, GA 31030	University	(478) 827-3878			1				General Georgia	https://www.fvsu.edu/img/FVSUPrimary_SanTagline.png		1				https://www.fvsu.edu/
